,Country,Years,Electricity generation TWh
0,United States,2000,4052.253106
1,Germany,2000,576.556
2,China,2000,1355.6
3,India,2000,571.3939361
4,United States,2001,3984.46789
5,Germany,2001,586.4115
6,China,2001,1480.8020000000001
7,India,2001,586.0927383999999
8,United States,2002,4111.775538
9,Germany,2002,586.688
10,China,2002,1654.0
11,India,2002,609.6504786
12,United States,2003,4137.978842
13,Germany,2003,608.78
14,China,2003,1910.575
15,India,2003,638.1310102000001
16,United States,2004,4231.682747
17,Germany,2004,617.4652
18,China,2004,2203.31
19,India,2004,698.300975
20,United States,2005,4322.786632
21,Germany,2005,622.575
22,China,2005,2500.26
23,India,2005,704.5093182
24,United States,2006,4330.951641
25,Germany,2006,639.5665
26,China,2006,2865.7259999999997
27,India,2006,744.4262522999999
28,United States,2007,4431.837021
29,Germany,2007,640.578
30,China,2007,3281.553
31,India,2007,796.265175
32,United States,2008,4390.106117
33,Germany,2008,640.686
34,China,2008,3495.76
35,India,2008,828.4135525
36,United States,2009,4206.493361
37,Germany,2009,595.624
38,China,2009,3714.651
39,India,2009,879.70725
40,United States,2010,4394.250985000001
41,Germany,2010,633.0930000000001
42,China,2010,4207.16
43,India,2010,937.4680375
44,United States,2011,4363.377155
45,Germany,2011,613.070326
46,China,2011,4713.019
47,India,2011,1034.011325
48,United States,2012,4310.569202000001
49,Germany,2012,630.149
50,China,2012,4987.553
51,India,2012,1091.837883
52,United States,2013,4330.292888
53,Germany,2013,638.73
54,China,2013,5431.635
55,India,2013,1146.139133
56,United States,2014,4363.3264070000005
57,Germany,2014,627.7651017999999
58,China,2014,5794.456999999999
59,India,2014,1262.2199679999999
60,United States,2015,4348.66944
61,Germany,2015,648.1492806
62,China,2015,5814.573
63,India,2015,1317.2981300000001
64,United States,2016,4347.910814
65,Germany,2016,650.707344
66,China,2016,6133.16
67,India,2016,1401.741765
68,United States,2017,4302.539017
69,Germany,2017,653.6547
70,China,2017,6604.446999999999
71,India,2017,1473.759284
72,United States,2018,4457.415464
73,Germany,2018,643.45
74,China,2018,7166.133000000001
75,India,2018,1551.4415
76,United States,2019,4401.299402000001
77,Germany,2019,612.3973249
78,China,2019,7503.428000000001
79,India,2019,1558.708662
