,Country,Years,Electricity generation from other TWh
0,United States,2000,18.0309984
1,Germany,2000,21.27425
2,China,2000,0.0036872
3,India,2000,0.0
4,United States,2001,12.22713092
5,Germany,2001,21.2795
6,China,2001,0.0023076
7,India,2001,0.0
8,United States,2002,13.97548879
9,Germany,2002,18.62625
10,China,2002,0.0061278
11,India,2002,0.0
12,United States,2003,14.545181
13,Germany,2003,20.305999999999997
14,China,2003,0.0078946
15,India,2003,0.0
16,United States,2004,14.75084734
17,Germany,2004,21.2268
18,China,2004,0.0
19,India,2004,0.0
20,United States,2005,13.35915624
21,Germany,2005,24.1468
22,China,2005,0.0
23,India,2005,0.0
24,United States,2006,13.52413552
25,Germany,2006,25.4006
26,China,2006,0.0
27,India,2006,0.0
28,United States,2007,12.7020304
29,Germany,2007,26.5586
30,China,2007,0.0
31,India,2007,0.0
32,United States,2008,12.28199821
33,Germany,2008,24.7124
34,China,2008,0.0
35,India,2008,0.0
36,United States,2009,12.52409457
37,Germany,2009,21.1252
38,China,2009,0.0
39,India,2009,0.0
40,United States,2010,13.46426351
41,Germany,2010,26.4293
42,China,2010,19.851860000000002
43,India,2010,0.0
44,United States,2011,14.80104819
45,Germany,2011,25.3062
46,China,2011,21.669
47,India,2011,0.0
48,United States,2012,14.50250746
49,Germany,2012,26.1096
50,China,2012,20.279889999999998
51,India,2012,0.0
52,United States,2013,14.30566562
53,Germany,2013,26.18
54,China,2013,22.9827266
55,India,2013,0.0
56,United States,2014,14.07183718
57,Germany,2014,26.913
58,China,2014,26.14633
59,India,2014,0.2068
60,United States,2015,14.75186233
61,Germany,2015,27.13520869
62,China,2015,26.783590000000004
63,India,2015,0.137685
64,United States,2016,14.35359482
65,Germany,2016,27.543000000000003
66,China,2016,42.1935
67,India,2016,0.10410499999999999
68,United States,2017,13.68882154
69,Germany,2017,26.7438
70,China,2017,46.185796
71,India,2017,0.174565
72,United States,2018,13.61973135
73,Germany,2018,26.848000000000003
74,China,2018,49.79163345
75,India,2018,0.20623000000000002
76,United States,2019,13.960466699999998
77,Germany,2019,25.731343399999997
78,China,2019,56.52613264
79,India,2019,0.191505
