,Country,Years,Wind and solar share electricity production%
0,Germany,2000,1.63
1,United States,2000,0.52
2,China,2000,0.06
3,India,2000,0.3
4,Germany,2001,1.8
5,United States,2001,0.56
6,China,2001,0.06
7,India,2001,0.38
8,Germany,2002,2.73
9,United States,2002,0.66
10,China,2002,0.06
11,India,2002,0.44
12,Germany,2003,3.47
13,United States,2003,0.69
14,China,2003,0.06
15,India,2003,0.55
16,Germany,2004,4.56
17,United States,2004,0.75
18,China,2004,0.07
19,India,2004,0.66
20,Germany,2005,5.1
21,United States,2005,0.85
22,China,2005,0.09
23,India,2005,0.87
24,Germany,2006,5.74
25,United States,2006,1.06
26,China,2006,0.14
27,India,2006,1.26
28,Germany,2007,7.05
29,United States,2007,1.25
30,China,2007,0.18
31,India,2007,1.44
32,Germany,2008,7.37
33,United States,2008,1.73
34,China,2008,0.44
35,India,2008,1.65
36,Germany,2009,7.95
37,United States,2009,2.25
38,China,2009,0.74
39,India,2009,2.06
40,Germany,2010,8.19
41,United States,2010,2.75
42,China,2010,1.08
43,India,2010,2.02
44,Germany,2011,11.55
45,United States,2011,3.43
46,China,2011,1.55
47,India,2011,2.36
48,Germany,2012,12.56
49,United States,2012,4.06
50,China,2012,2.05
51,India,2012,2.87
52,Germany,2013,13.24
53,United States,2013,4.84
54,China,2013,2.88
55,India,2013,3.07
56,Germany,2014,15.22
57,United States,2014,5.34
58,China,2014,3.27
59,India,2014,3.27
60,Germany,2015,18.53
61,United States,2015,5.86
62,China,2015,3.94
63,India,2015,3.5
64,Germany,2016,18.16
65,United States,2016,7.07
66,China,2016,5.18
67,India,2016,4.12
68,Germany,2017,22.25
69,United States,2017,8.41
70,China,2017,6.77
71,India,2017,5.11
