,Country,Year,Primary Energy-Consumption
0,China,2000.0,42.45316142
1,Germany,2000.0,14.30741212
2,India,2000.0,13.34155797
3,United States,2000.0,95.13879198
4,China,2001.0,44.8419766
5,Germany,2001.0,14.56011357
6,India,2001.0,13.41095659
7,United States,2001.0,92.89452493
8,China,2002.0,48.84460713
9,Germany,2002.0,14.36718806
10,India,2002.0,14.02856838
11,United States,2002.0,94.23901794
12,China,2003.0,56.87522175
13,Germany,2003.0,14.3533407
14,India,2003.0,14.56802106
15,United States,2003.0,94.53503322
16,China,2004.0,66.54571613
17,Germany,2004.0,14.33946814
18,India,2004.0,15.6296614
19,United States,2004.0,96.39671419
20,China,2005.0,75.60172011
21,Germany,2005.0,14.165917199999999
22,India,2005.0,16.56290826
23,United States,2005.0,96.43731384
24,China,2006.0,82.8805339
25,Germany,2006.0,14.51322843
26,India,2006.0,17.41017417
27,United States,2006.0,95.65836227
28,China,2007.0,90.08781938
29,Germany,2007.0,13.89002168
30,India,2007.0,18.92910864
31,United States,2007.0,96.99645751
32,China,2008.0,93.44496937
33,Germany,2008.0,14.02825473
34,India,2008.0,20.00481722
35,United States,2008.0,94.60071171
36,China,2009.0,97.52314741
37,Germany,2009.0,13.15429711
38,India,2009.0,21.52434691
39,United States,2009.0,89.92401795
40,China,2010.0,104.2840024
41,Germany,2010.0,13.70618966
42,India,2010.0,22.55470758
43,United States,2010.0,92.97258881
44,China,2011.0,112.54080829999998
45,Germany,2011.0,13.20216248
46,India,2011.0,23.88045003
47,United States,2011.0,92.08836192
48,China,2012.0,117.04535020000002
49,Germany,2012.0,13.36885139
50,India,2012.0,25.11341421
51,United States,2012.0,89.68776503
52,China,2013.0,121.37465690000002
53,Germany,2013.0,13.74595931
54,India,2013.0,26.076945199999997
55,United States,2013.0,92.09548018
56,China,2014.0,124.19793290000001
57,Germany,2014.0,13.16627917
58,India,2014.0,27.86167507
59,United States,2014.0,93.05416796
60,China,2015.0,125.3768906
61,Germany,2015.0,13.39985761
62,India,2015.0,28.77081861
63,United States,2015.0,92.14900449
64,China,2016.0,126.9507368
65,Germany,2016.0,13.61972299
66,India,2016.0,30.06742863
67,United States,2016.0,92.017799
