,Country,Year,Renewable share electricity output
0,China,2000.0,16.63949819
1,Germany,2000.0,6.198531223
2,India,2000.0,13.59094803
3,United States,2000.0,8.205996942
4,China,2001.0,18.95851917
5,Germany,2001.0,6.512444017999999
6,India,2001.0,13.20704353
7,United States,2001.0,6.783992314
8,China,2002.0,17.618627899999996
9,Germany,2002.0,7.642700282000001
10,India,2002.0,12.05516116
11,United States,2002.0,8.646361178
12,China,2003.0,15.03704033
13,Germany,2003.0,7.552977702000001
14,India,2003.0,13.46942476
15,United States,2003.0,8.889376121
16,China,2004.0,16.22326642
17,Germany,2004.0,9.267474493
18,India,2004.0,14.4825005
19,United States,2004.0,8.630185532
20,China,2005.0,16.17502498
21,Germany,2005.0,10.15021111
22,India,2005.0,16.61901808
23,United States,2005.0,8.578465534
24,China,2006.0,15.59278342
25,Germany,2006.0,11.32201311
26,India,2006.0,17.54042472
27,United States,2006.0,9.244631183
28,China,2007.0,15.26334714
29,Germany,2007.0,13.93800806
30,India,2007.0,17.86408569
31,United States,2007.0,8.367763936000001
32,China,2008.0,17.73744406
33,Germany,2008.0,14.699233900000001
34,India,2008.0,16.50983374
35,United States,2008.0,9.003541347
36,China,2009.0,17.863798199999998
37,Germany,2009.0,16.07855368
38,India,2009.0,15.66005525
39,United States,2009.0,10.29184507
40,China,2010.0,18.62282605
41,Germany,2010.0,16.72707367
42,India,2010.0,16.04374444
43,United States,2010.0,10.12035515
44,China,2011.0,16.76177043
45,Germany,2011.0,20.38328272
46,India,2011.0,17.31696286
47,United States,2011.0,12.22571352
48,China,2012.0,19.96624894
49,Germany,2012.0,23.00045854
50,India,2012.0,15.73297336
51,United States,2012.0,12.00739706
52,China,2013.0,20.29622738
53,Germany,2013.0,24.07254975
54,India,2013.0,17.34931383
55,United States,2013.0,12.63791912
56,China,2014.0,22.60915378
57,Germany,2014.0,26.13009657
58,India,2014.0,16.25383982
59,United States,2014.0,12.95382709
60,China,2015.0,23.92681717
61,Germany,2015.0,29.23177012
62,India,2015.0,15.34305035
63,United States,2015.0,13.22859321
64,China,2016.0,
65,Germany,2016.0,
66,India,2016.0,
67,United States,2016.0,
