,Country,Year,Wind and solar share electricity production
0,China,2000.0,0.06
1,Germany,2000.0,1.63
2,India,2000.0,0.3
3,United States,2000.0,0.52
4,China,2001.0,0.06
5,Germany,2001.0,1.8
6,India,2001.0,0.38
7,United States,2001.0,0.56
8,China,2002.0,0.06
9,Germany,2002.0,2.73
10,India,2002.0,0.44
11,United States,2002.0,0.66
12,China,2003.0,0.06
13,Germany,2003.0,3.47
14,India,2003.0,0.55
15,United States,2003.0,0.69
16,China,2004.0,0.07
17,Germany,2004.0,4.56
18,India,2004.0,0.66
19,United States,2004.0,0.75
20,China,2005.0,0.09
21,Germany,2005.0,5.1
22,India,2005.0,0.87
23,United States,2005.0,0.85
24,China,2006.0,0.14
25,Germany,2006.0,5.74
26,India,2006.0,1.26
27,United States,2006.0,1.06
28,China,2007.0,0.18
29,Germany,2007.0,7.05
30,India,2007.0,1.44
31,United States,2007.0,1.25
32,China,2008.0,0.44
33,Germany,2008.0,7.37
34,India,2008.0,1.65
35,United States,2008.0,1.73
36,China,2009.0,0.74
37,Germany,2009.0,7.95
38,India,2009.0,2.06
39,United States,2009.0,2.25
40,China,2010.0,1.08
41,Germany,2010.0,8.19
42,India,2010.0,2.02
43,United States,2010.0,2.75
44,China,2011.0,1.55
45,Germany,2011.0,11.55
46,India,2011.0,2.36
47,United States,2011.0,3.43
48,China,2012.0,2.05
49,Germany,2012.0,12.56
50,India,2012.0,2.87
51,United States,2012.0,4.06
52,China,2013.0,2.88
53,Germany,2013.0,13.24
54,India,2013.0,3.07
55,United States,2013.0,4.84
56,China,2014.0,3.27
57,Germany,2014.0,15.22
58,India,2014.0,3.27
59,United States,2014.0,5.34
60,China,2015.0,3.94
61,Germany,2015.0,18.53
62,India,2015.0,3.5
63,United States,2015.0,5.86
64,China,2016.0,5.18
65,Germany,2016.0,18.16
66,India,2016.0,4.12
67,United States,2016.0,7.07
